InstAddress		Total_Execution	Total_Cycles	Instruction
900076dc		32                  	6752                	LD    --R0, R17
900076de		32                  	6752                	LD    --R0, R16
900076e0		32                  	352                 	JMP   R16, JMP
900076e2		32                  	288                 	ST    R0++, R16
900076e4		32                  	288                 	ST    R0++, R17
900076e6		32                  	96                  	MOV   R1, R17
900076e8		32                  	96                  	ADDC  8, R1
900076ea		32                  	288                 	ST    R0++, R21
900076ec		32                  	288                 	ST    R0++, R22
900076ee		32                  	96                  	MOVC  0, R21
900076f0		32                  	96                  	MOVC  0, R21
900076f2		1024                	4096                	ADDX  R2, R22, 0x1
900076f6		1024                	12288               	JMP   R31, JMP, 0x00006ce6
900076fc		114176              	456704              	ADDX  R28, R11, 0x400
90007700		114176              	342728              	MOV   R21, R10
90007702		114176              	1027584             	MUL   R30, R10, 0x200
90007706		114176              	342528              	ADD   R10, R11
90007708		114176              	342528              	MOV   R22, R10
9000770a		114176              	913408              	MULC  4, R10
9000770c		114176              	342528              	MOV   R11, R9
9000770e		114176              	342528              	ADD   R10, R9
90007710		114176              	1027584             	STX   R1, R9, 0xfffc
90007714		114176              	1141760             	LD    R9, R8
90007716		114176              	342528              	MOV   R2, R9
90007718		114176              	913408              	MULC  4, R9
9000771a		114176              	342528              	ADD   R9, R11
9000771c		114176              	1141760             	LD    R11, R11
9000771e		114176              	456704              	ADDX  R28, R9, 0x200
90007722		114176              	342528              	ADD   R10, R9
90007724		114176              	1141760             	LD    R9, R10
90007726		114176              	1141760             	FMUL  R10, R11
90007728		114176              	342528              	MOV   R8, R10
9000772a		114176              	913408              	FSUB  R11, R10
9000772c		114176              	24091136            	LDX   R1, R11, 0xfffc
90007730		114176              	913408              	ST    R11, R10
90007732		114176              	456704              	ADDX  R22, R22, 0x1
90007736		115200              	461000              	COMP  R30, R22, 0x80
9000773a		115200              	1260032             	JMP   R31, JL, 0x00006cac
90007740		1024                	4096                	ADDX  R21, R21, 0x1
90007744		1024                	4096                	COMP  R30, R21, 0x20
90007748		1024                	11040               	JMP   R31, JL, 0x00006ca2
9000774e		32                  	6752                	LD    --R0, R22
90007750		32                  	6752                	LD    --R0, R21
90007752		32                  	96                  	MOV   R17, R1
90007754		32                  	6752                	LD    --R0, R17
90007756		32                  	6752                	LD    --R0, R16
90007758		32                  	352                 	JMP   R16, JMP
9000775a		32                  	488                 	ST    R0++, R16
9000775c		32                  	288                 	ST    R0++, R17
9000775e		32                  	96                  	MOV   R1, R17
90007760		32                  	328                 	ADD   R30, R1, 0x1c
90007764		32                  	288                 	STX   R17, R2, 0x0
90007768		32                  	288                 	STX   R17, R3, 0xfffc
9000776c		32                  	6752                	LDX   R17, R2, 0xfffc
